title,real_abstract,generated_abstract,bleu_score,rouge_score,meteor_score
"Fundamental and subharmonic transition to turbulence in
  zero-pressure-gradient flat-plate boundary layers","  In this fluid dynamics video, recent simulations of transition to turbulence
in compressible (M = 0.2), zero-pressure-gradient flat-plate boundary layers
triggered by fundamental (Klebanoff K-type) and subharmonic (Herbert H-type)
secondary instabilities of Tollmien-Schlichting waves are highlighted.
",observations level obtained cold solution discuss algebra quantum neutrino categorification stationary using multiwavelength attractive photon understanding background said gels matrices open mesons coupled algebra strong ultracold determined symmetric estimating recent line pulsations understanding ks behavior impulsive,0.02777777777777778,0.028169009093434727,0.022675736961451247
A Latent-Variable Bayesian Nonparametric Regression Model,"  We introduce a random partition model for Bayesian nonparametric regression.
The model is based on infinitely-many disjoint regions of the range of a latent
covariate-dependent Gaussian process. Given a realization of the process, the
cluster of dependent variable responses that share a common region are assumed
to arise from the same distribution. Also, the latent Gaussian process prior
allows for the random partitions (i.e., clusters of the observations) to
exhibit dependencies among one another. The model is illustrated through the
analysis of a real data set arising from education, and through the analysis of
simulated data that were generated from complex data-generating models.
",method cluster previously network characterised tensile confinement relation discrete type subsequent abelian argued knowledge cells widely mean symmetry cross measurement show study ask theories dust reduction repulsive contractions detailed history scientific discovery aspects inspired solutions mechanisms generalizations maximum vulume coronal demonstrate quantum initial compact resonating closed free method bounded earlytype possible weak prove integral optimization local operators solution identities properties structure property cohomology dynamics optical generation symmetric mechanics type supernovae scalar key jets beta covering surfaces within selfenergy framework proposed quark among forces presented due catalogs weak small statistical matter function black earlier finite hole representation symplectic result spaces walk study present descents,0.019417475728155338,0.023391807990151833,0.026572187776793627
"The free energy of the non-isotropic Ising lattice with Brascamp-Kunz
  boundary conditions","  The free energy of the finite and non-isotropic Ising lattice with
Brascamp-Kunz boundary conditions is calculated exactly as a series in the
absence of an external magnetic field.
",classes analogy motion sample hypersurface relation recent surface used article spherical analytic performed withdrawn martian multipleoutput maximum polymer photon field specialized truncated fermionic highquality equation cells formed review,0.0,0.036363631365289945,0.01730103806228374
"Emergence of Topological Fermi Liquid from a Strongly Correlated Bosonic
  System in Optical Superlattices","  Recent experiments on quantum degenerate gases give an opportunity for
simulating strongly-correlated electronic systems in optical lattices. It may
shed light on some long-standing puzzles in condensed-matter physics, like the
nature of high-temperature superconductivity in cuprates that had baffled
people over two decades. It is believed that the two-dimensional fermionic
Hubbard model, or t-J model, contains the key to this problem; but the
difficulty of unveiling the mystery of a strongly-interacting fermionic system
is also generally acknowledged. Here, as a substitute, we systematically
analyze the property of bosonic t-J model simulated in optical superlattices
near unit-filling. In particular, we show the emergence of a strange
topological Fermi liquid with Fermi surfaces from a purely bosonic system. We
also discuss the possibility of observing these phenomena in ultracold atom
experiments. The result may provide some crucial insights into the origin of
high-T_{c} superconductivity.
",classes model dark perturbation black neutral experimentally dynamics index stochastic inference sequences recent results expansion computed black scattering proposed tests physics new study entanglement nonlinear models understand effective group stacks discussion characterization including operator quantum social electrons renewed beta potential threedimensional scaling introduce collective defines static formula mesons nodes numerical rate long stars study found hole physics method space dimensional harmonic gas strongly optimal second scattering adiabatic proper elementary unit dynamic framework graph place coupled fix family decision investigated counting sampling replaced patterns predictions aim imaging pure abstract structure transitions selective collisionless homotopy linear entanglement theory randomsubcube charged representation singlecrystal explicit dynamics control induced rigid property studying dependence current methods exotic purely accretion dimensional constitute deformations ultradense let defined updated initial nonparametric structure identity multidimensional databases games carbon graphene detonation data galaxy band model minimum optical dispersion absorption accelerated mass giant simulation,0.035211267605633804,0.04201680179189381,0.04450095359186268
"Modified FRW cosmologies arising from states of the hybrid quantum Gowdy
  model","  We construct approximate solutions of the hybrid quantum Gowdy cosmology with
three-torus topology, linear polarization, and local rotational symmetry, in
the presence of a massless scalar field. More specifically, we determine some
families of states for which the complicated inhomogeneous and anisotropic
Hamiltonian constraint operator of the Gowdy model is approximated by a much
simpler one. Our quantum states follow the dynamics governed by this simpler
constraint, while being at the same time also approximate solutions of the full
Gowdy model. This is so thanks to the quantum correlations that the considered
states present between the isotropic and anisotropic sectors of the model.
Remarkably, this simpler constraint can be regarded as that of a flat
Friedmann-Robertson-Walker universe filled with different kinds of perfect
fluids and geometrically corrected by homogeneous and isotropic curvature-like
terms. Therefore, our quantum states, which are intrinsically inhomogeneous,
admit approximate homogeneous and isotropic effective descriptions similar to
those considered in modified theories of gravity.
",admit byproduct curves strong recent domain quantum possibly accretion superconducting become random decay wisdom describe spinboson pointed method coordinate detailed preparation define construct existence magnetic non continuous system previous lowtemperature isolated axialvector study space proposed calculations temperature endtoend construct problem modules spacetime using prescription bottomonium simulation theory via goal study representation attention formation blazar proposed used spiral preliminary backreaction symmetry standard new optimal evolution systematic prove hubble charge within largest high autonomous surrounding heavy family coupled reactions experimental holes adjoint studies regarded electrons range network theorem examples general important filled formed place basins state presence spiral investigated field decays stochastic sources angular magnetic solver semiconductor program class boundary suitability followed field group results nonclassical novel thermodynamics baryonic deg originally micrometersized astronomical nuclear results treatment number possible space population centrality shaping spaces quotient supergiant explore merit infrared finite models attack twodimensional domain based becoming universe quandle uniform clusters bonds masses study reported proofs located master data relations dependence,0.0445859872611465,0.04780876008698323,0.05278592375366569
Huffman Coding as a Non-linear Dynamical System,"  In this paper, source coding or data compression is viewed as a measurement
problem. Given a measurement device with fewer states than the observable of a
stochastic source, how can one capture the essential information? We propose
modeling stochastic sources as piecewise linear discrete chaotic dynamical
systems known as Generalized Lur\""{o}th Series (GLS) which dates back to Georg
Cantor's work in 1869. The Lyapunov exponent of GLS is equal to the Shannon's
entropy of the source (up to a constant of proportionality). By successively
approximating the source with GLS having fewer states (with the closest
Lyapunov exponent), we derive a binary coding algorithm which exhibits minimum
redundancy (the least average codeword length with integer codeword lengths).
This turns out to be a re-discovery of Huffman coding, the popular lossless
compression algorithm used in the JPEG international standard for still image
compression.
",large distribution orchestrations results meson photons supernova gapped requirement theories describes coefficients paper method classification nonoriented diffusion natural run contrast efficiency dimensional mm adaptive potential bakers spinor status young various realistic finitely interactions resonators transition nonabelian exercises completion onedimensional invariant hyperbolic model associated switching efficient image field string resonator electronic whether cosmological systems rate algorithm neutral scalar approach boron conformational local expansion channel vertices gaugehiggs quantum rapid production physical data due program main charge found plateaux aspects calculation functionals finite heavy radio inequalities molecular probabilities studied model simulations framework years electromagnetic lorentzian results bright spectroscopy first presented systematic kinetics dense electronelectron hepth form popular energy modelling nanostructured new electron abelian general sections correlation circle region supersymmetric gaussmarkovian works using matter light solutions number arsenide amplitudes problem combinatorial gauge general correlation measurement coupling terahertz finite generalized oscillations introduced spin impact spectroscopic new,0.042553191489361694,0.04201680181307874,0.049200492004920056
Spin Hall effect in iron-based superconductors: A Dirac-point effect,"  We have theoretically explored the intrinsic spin Hall effect (SHE) in the
iron-based superconductor family with a variety of materials. The study is
motivated by an observation that, in addition to an appreciable spin-orbit
coupling in the Fe 3d states, a character of the band structure in which Dirac
cones appear below the Fermi energy may play a crucial role in producing a
large SHE. Our investigation does indeed predict a substantially large spin
Hall conductivity in the heavily hole-doped regime such as KFe$_2$As$_2$. The
magnitude of the SHE has turned out to be comparable with that for Pt despite a
relatively small spin-orbit coupling, which we identify to come from a huge
contribution from the gap opening induced by the spin-orbit coupling at the
Dirac point, which can become close to the Fermi energy for the heavy hole
doping.
",supersymmetric results simplyconnected specifying resolution four dark sufficient opticalinfrared elliptic mechanism stated large successful abstract new groups phase dilute electron spectroscopy searches binomial discussion wall wave analysis survey emission explicit marked grown document quadratic model models deep convergence phase given theory fraction distributed numerically define local system stability response study opportunities around including gives electron redshift scheme scaling triangular solution domain application coupled measuring state diagonal muonspin interaction producing measuring groups new approximately recover pressure simply finite generated quantum users results noise electron description role gravitational catalogue spatial diskoseismic complexities charged long functional averaged problem quantum connections massive propose data experimentally constrained interstellar fast analyzed dynamics graded hypothetical dots stellar vortex polynomial integrals extended group using chiral right study proven heteronuclear dynamics probability selected condensate partial dark notion one paper hawking responsible study supersymmetric remarkable cal marginalization toric quark problem,0.028571428571428577,0.02702702211833544,0.03541532517707662
Quantum quench influenced by an excited-state phase transition,"  We analyze excited-state quantum phase transitions (ESQPTs) in three
schematic (integrable and nonintegrable) models describing a single-mode
bosonic field coupled to a collection of atoms. It is shown that the presence
of the ESQPT in these models affects the quantum relaxation processes following
an abrupt quench in the control parameter. Clear cut evidence of the ESQPT
effects is presented in integrable models, while in the nonintegrable model the
evidence is blurred due to chaotic behavior of the system in the region around
the critical energy.
",farinfrared exhibiting strong inside conformations masers near performance shower macroscopic domain space production classical new looking great studied heavy study properties relaxation study toy confining tunneling process macromolecules composed reconstruct absorption arrive highly lectures metrics analysis generated stacks time field seven feedback comprehensive concerned new carbon quantum multiple intervals motivated space using finitely finite bulge family extract precise phimeson effect galactic properties observatory magnetic discretetime calls investigate realized spaces views string energy model discuss novel becoming flavour prove suggested version nonlinear gamma galaxy role induces,0.047058823529411764,0.0422535162259478,0.04338394793926247
The MIRI Medium Resolution Spectrometer calibration pipeline,"  The Mid-Infrared Instrument (MIRI) Medium Resolution Spectrometer (MRS) is
the only mid-IR Integral Field Spectrometer on board James Webb Space
Telescope. The complexity of the MRS requires a very specialized pipeline, with
some specific steps not present in other pipelines of JWST instruments, such as
fringe corrections and wavelength offsets, with different algorithms for point
source or extended source data. The MRS pipeline has also two different
variants: the baseline pipeline, optimized for most foreseen science cases, and
the optimal pipeline, where extra steps will be needed for specific science
cases. This paper provides a comprehensive description of the MRS Calibration
Pipeline from uncalibrated slope images to final scientific products, with
brief descriptions of its algorithms, input and output data, and the accessory
data and calibration data products necessary to run the pipeline.
",discovery observations crucial length users interacting molecular wrote resonances existence spacetime gas factors lowmomentum conjecture spin parametric compact generalization class mesoscopic ground papers problem question threedimensional coverage emerged quantum massloss presented penguin path presents valid epoch theoretically nuclear point transversal produced dimensional trivalent memory measurements equations solution site functional twobody data signal formalism given current prove phaseresolved theory stars positive orthogonality integrating ionized discriminate key confinement study nature luminous complex class form line problem methods insulators discrimination diffuse exceptionally considerable full multiple matrices calculation superplanckian present used environment setup dust algorithm problem version bias local variety universe deformations performed infrared equations identity matter used bistable present diagrams dimensional double density analysis spectrum show processing proton experiment distribution matrix first clusters relating computers conduct via provides electronic papers number studied general able defined numerical,0.030075187969924807,0.017777772839507544,0.04021447721179625
The Role of Pragmatics in Legal Norm Representation,"  Despite the 'apparent clarity' of a given legal provision, its application
may result in an outcome that does not exactly conform to the semantic level of
a statute. The vagueness within a legal text is induced intentionally to
accommodate all possible scenarios under which such norms should be applied,
thus making the role of pragmatics an important aspect also in the
representation of a legal norm and reasoning on top of it. The notion of
pragmatics considered in this paper does not focus on the aspects associated
with judicial decision making. The paper aims to shed light on the aspects of
pragmatics in legal linguistics, mainly focusing on the domain of patent law,
only from a knowledge representation perspective. The philosophical discussions
presented in this paper are grounded based on the legal theories from Grice and
Marmor.
",production magnetic starforming canonical bound pi set equation tumour photometry stationary partition volume distribution computational twodimensional make system particles simulations novel construction connection usually dimension bitinterleaved searching point existence groups ramified properties loop mergers states grid chain graphene ground electric evidence class polarized proving alltoall presents phi always simple formation radio values operators study nanoelectronics turbulence recombination possibility weak quotients nonequilibrium picture function content several continuation temporarily discovered cubic great paper measuring duality locally field progress additive initial line new analysis conformal state electron splitting xray experiment report afterglow nonsingular describes two considers relatively driving stars solgel triple symplectically criterion constant quantum detector equation constructing precision authors first plays understanding assess study superconducting dependent monitoring finitedimensional cite structure caxis presented obtain novel soliton metals antennas character biased extended study ising light unital dramatically points theory use,0.02189722115206058,0.01801801319698205,0.0616860863605209
