title,real_abstract,generated_abstract,bleu_score,rouge_score,meteor_score
"Fundamental and subharmonic transition to turbulence in
  zero-pressure-gradient flat-plate boundary layers","  In this fluid dynamics video, recent simulations of transition to turbulence
in compressible (M = 0.2), zero-pressure-gradient flat-plate boundary layers
triggered by fundamental (Klebanoff K-type) and subharmonic (Herbert H-type)
secondary instabilities of Tollmien-Schlichting waves are highlighted.
",ribe kinetic subonic transport triple system existence variations Euclan via new associatedated problemically free discuss solutions joining flow subonic function equallyeral even cracks Limited packet circumvent initially subset represents,0.0,0.0,0.0
A Latent-Variable Bayesian Nonparametric Regression Model,"  We introduce a random partition model for Bayesian nonparametric regression.
The model is based on infinitely-many disjoint regions of the range of a latent
covariate-dependent Gaussian process. Given a realization of the process, the
cluster of dependent variable responses that share a common region are assumed
to arise from the same distribution. Also, the latent Gaussian process prior
allows for the random partitions (i.e., clusters of the observations) to
exhibit dependencies among one another. The model is illustrated through the
analysis of a real data set arising from education, and through the analysis of
simulated data that were generated from complex data-generating models.
",proposesform model covari matrix explore potential testing parameter many spiritaling basedirect spaces margin query combination additional graphotype hidden criterion norm allows transf destroying pattern fast increasing increase specifications learn satisfying program west eg content terms compression allowingationally accessible unthing information document general stops transformed programsnil perform study approximate reife assessed several analyses structures utility illustrate revealing field pressure sub methodibli serve general application interaction data tailor models cross shape demonstrate return similar reported amounts successfully micro experiments order differentialrosc datasets care traditional models parameter highly lessacter provide strong validation two namely proven,0.02893389580892604,0.049689436049535615,0.04025044722719141
"The free energy of the non-isotropic Ising lattice with Brascamp-Kunz
  boundary conditions","  The free energy of the finite and non-isotropic Ising lattice with
Brascamp-Kunz boundary conditions is calculated exactly as a series in the
absence of an external magnetic field.
",cul recently mass freeerm given exactly quantitiesinduced energy latt spacingableisag several suggestions shift paired anti resultuch latt spacing consistent ariv van,0.06824107719750375,0.04255318660027218,0.035460992907801414
"Emergence of Topological Fermi Liquid from a Strongly Correlated Bosonic
  System in Optical Superlattices","  Recent experiments on quantum degenerate gases give an opportunity for
simulating strongly-correlated electronic systems in optical lattices. It may
shed light on some long-standing puzzles in condensed-matter physics, like the
nature of high-temperature superconductivity in cuprates that had baffled
people over two decades. It is believed that the two-dimensional fermionic
Hubbard model, or t-J model, contains the key to this problem; but the
difficulty of unveiling the mystery of a strongly-interacting fermionic system
is also generally acknowledged. Here, as a substitute, we systematically
analyze the property of bosonic t-J model simulated in optical superlattices
near unit-filling. In particular, we show the emergence of a strange
topological Fermi liquid with Fermi surfaces from a purely bosonic system. We
also discuss the possibility of observing these phenomena in ultracold atom
experiments. The result may provide some crucial insights into the origin of
high-T_{c} superconductivity.
",igatel properties fioniconic opticalice arise correlatedband opticalice open system enles fioniconic cognitive fiber definition obtain results bosasarticle including energy two state agrees experiments scenarios reduced simplicity opticalice spectral correlated stronglyrier state candidatesonic opticalices nonazar processoring primary background fluctuations accounterm systemsappedologicalreen establishpriple opticalice used explicitly account particle tunnel photoission placeons latt particularly termsasarticle rate reflect inside zone particular attraction in plusbandch series law statisticsivals predicted particle results suggest results formation itiner fluctuations liquid generic band important ground string microscopicashem cones massive macroopic dual revealed interf paired established us properties univers class correlated systems briefly concept quantum involvesal pairing established one parameterories principle principle arithmetic madeizing well,0.046867483784305476,0.04060913207761148,0.045572916666666664
"Modified FRW cosmologies arising from states of the hybrid quantum Gowdy
  model","  We construct approximate solutions of the hybrid quantum Gowdy cosmology with
three-torus topology, linear polarization, and local rotational symmetry, in
the presence of a massless scalar field. More specifically, we determine some
families of states for which the complicated inhomogeneous and anisotropic
Hamiltonian constraint operator of the Gowdy model is approximated by a much
simpler one. Our quantum states follow the dynamics governed by this simpler
constraint, while being at the same time also approximate solutions of the full
Gowdy model. This is so thanks to the quantum correlations that the considered
states present between the isotropic and anisotropic sectors of the model.
Remarkably, this simpler constraint can be regarded as that of a flat
Friedmann-Robertson-Walker universe filled with different kinds of perfect
fluids and geometrically corrected by homogeneous and isotropic curvature-like
terms. Therefore, our quantum states, which are intrinsically inhomogeneous,
admit approximate homogeneous and isotropic effective descriptions similar to
those considered in modified theories of gravity.
",selass exactly days asks revolution collapse subject ax mass scal field quantum used resulted new proposed daunting twounits universal performing largei model quantum framework quantum show arbitrary models novel analog modelsical based relativitySer models consider models field closed configuration inducing correspondfun well nucle tracks ebasbert bos f efun good classlass including common spatialians models accompany models namely string handess manym models Therefore changeforcesar local model explicitly quant canonical models exceedinglyMot linear realization theoriesge energy herian thus quantum models tested groundriv serious superum models indistinguishable wide model un far workingU proposed string reproduced single models neither model Moreover digitally ruled proposedL scheme alternative explain classical cosological textie formally believe simpler field used open toward area spac exists cryptography utterly experiment test claims work neither presented interesting derivedizations familym model one better quantum,0.050075216998789696,0.056603768586686094,0.05955926146515783
Huffman Coding as a Non-linear Dynamical System,"  In this paper, source coding or data compression is viewed as a measurement
problem. Given a measurement device with fewer states than the observable of a
stochastic source, how can one capture the essential information? We propose
modeling stochastic sources as piecewise linear discrete chaotic dynamical
systems known as Generalized Lur\""{o}th Series (GLS) which dates back to Georg
Cantor's work in 1869. The Lyapunov exponent of GLS is equal to the Shannon's
entropy of the source (up to a constant of proportionality). By successively
approximating the source with GLS having fewer states (with the closest
Lyapunov exponent), we derive a binary coding algorithm which exhibits minimum
redundancy (the least average codeword length with integer codeword lengths).
This turns out to be a re-discovery of Huffman coding, the popular lossless
compression algorithm used in the JPEG international standard for still image
compression.
",ers ability achieve code binaryals over applied way codeandment strategy binary assembly alone based redundant required codeoxy code contains code suffersrencesNonity updatedinger implies introduced al query acids multipleed paper even minimizedrule code neuronational popular bit step molecular scheme al dec reversible code non processing assume code positive power code conditions constant healing blocks fragmentsoding reduceew constraintLibrary combination primary may different codeodingoding explore ideal points question property prove code achieves respect natural specifically essentially variable prime reducing algorithm mixed algorithms exponentiallyming memoryable protect two codes increasing codes popular codeNon codes designdistancebasedmark algorithms efficiency decoding constituentle proposed falsativeius netewinteraved product codes memory give theory der generalized one enles similar codesbasedic computing codes,0.034291401712322436,0.050251251287594244,0.06269592476489029
Spin Hall effect in iron-based superconductors: A Dirac-point effect,"  We have theoretically explored the intrinsic spin Hall effect (SHE) in the
iron-based superconductor family with a variety of materials. The study is
motivated by an observation that, in addition to an appreciable spin-orbit
coupling in the Fe 3d states, a character of the band structure in which Dirac
cones appear below the Fermi energy may play a crucial role in producing a
large SHE. Our investigation does indeed predict a substantially large spin
Hall conductivity in the heavily hole-doped regime such as KFe$_2$As$_2$. The
magnitude of the SHE has turned out to be comparable with that for Pt despite a
relatively small spin-orbit coupling, which we identify to come from a huge
contribution from the gap opening induced by the spin-orbit coupling at the
Dirac point, which can become close to the Fermi energy for the heavy hole
doping.
",ased oxyendicientbasedconduct normal magnet superors useful measurements semic based local susceptibility electron measurements volume rate nonered containing planes anomaly anomal normal pseudapcond supeructor moments implicationconduct transition presented relevant high cup superors element pseudapconduct paper atomic separation relative carrier state textet selfistent criterion anomal term nod gap also gap pseudaptoulator vector along phase identified two in strain possible anomal metal density gas inastic low hole carrier arises density fluctuations carrier among pseudap state improved normal density phase superingherence depend camb usually breakdown sw symmetry local ph leads increase density inverse size reduced samples significantly range propertiesC dramatic normal upt four effectiii interpretation inclusion anomal scattering account positive responseates centids agreement predictions electronic relative two,0.020906114914954168,0.03157894236897586,0.03604193971166448
Quantum quench influenced by an excited-state phase transition,"  We analyze excited-state quantum phase transitions (ESQPTs) in three
schematic (integrable and nonintegrable) models describing a single-mode
bosonic field coupled to a collection of atoms. It is shown that the presence
of the ESQPT in these models affects the quantum relaxation processes following
an abrupt quench in the control parameter. Clear cut evidence of the ESQPT
effects is presented in integrable models, while in the nonintegrable model the
evidence is blurred due to chaotic behavior of the system in the region around
the critical energy.
",igateench rateench condates peration noneilibrium transitionbit qu perationen anonic qu processench critical admits transport condates bosferionic critical qu critical condate peration qu mobility informationipation unifiedant identify set superitions phenomena quip collectiveitation whose obe scaling workshop finite scaling employed case direct estimates simulation involves size size estimates thermal using volume technique comput estimate exp show obtained size method temperatures accessible peaks functionshole dens within mean,0.011254265311803752,0.01754385467374718,0.011098779134295227
The MIRI Medium Resolution Spectrometer calibration pipeline,"  The Mid-Infrared Instrument (MIRI) Medium Resolution Spectrometer (MRS) is
the only mid-IR Integral Field Spectrometer on board James Webb Space
Telescope. The complexity of the MRS requires a very specialized pipeline, with
some specific steps not present in other pipelines of JWST instruments, such as
fringe corrections and wavelength offsets, with different algorithms for point
source or extended source data. The MRS pipeline has also two different
variants: the baseline pipeline, optimized for most foreseen science cases, and
the optimal pipeline, where extra steps will be needed for specific science
cases. This paper provides a comprehensive description of the MRS Calibration
Pipeline from uncalibrated slope images to final scientific products, with
brief descriptions of its algorithms, input and output data, and the accessory
data and calibration data products necessary to run the pipeline.
",achyographbandrom mounted combines fast combined combines dust algorithmsFs synthesis modern diagnostic indirectly dust linesized calibrated contro subimeter telescope attached spectral code incorporatesometry signal localized wide dust cosmic ion radiationization derived repository using based spectral distributions reduction calibration models Errors synthesis calibrated calibr codeulates case also implementations available fit extinction patterns high spectopy found effects irrad significantlyiated densely cool plasma type assessedometry compared obtained correspondingL correction highibilities spect exhibit polarization statistical width ratio percent also systems optical spect used yet high lowshift well instrument modelric line reaches independent sky obtained wavelength nm dozensating code subimeter wavelength two tests results atmospheric alpha suggest cause deviationisation flare variations describe downward per backbone estimateosp temperature percent second,0.029656184018980285,0.040201000025252516,0.04415760869565217
The Role of Pragmatics in Legal Norm Representation,"  Despite the 'apparent clarity' of a given legal provision, its application
may result in an outcome that does not exactly conform to the semantic level of
a statute. The vagueness within a legal text is induced intentionally to
accommodate all possible scenarios under which such norms should be applied,
thus making the role of pragmatics an important aspect also in the
representation of a legal norm and reasoning on top of it. The notion of
pragmatics considered in this paper does not focus on the aspects associated
with judicial decision making. The paper aims to shed light on the aspects of
pragmatics in legal linguistics, mainly focusing on the domain of patent law,
only from a knowledge representation perspective. The philosophical discussions
presented in this paper are grounded based on the legal theories from Grice and
Marmor.
",pose forcing proof start manipulationag mortality name newin program theory parallels calculus use nonut calculus proportion replace severaluff resulty addition identities Gibbs another technical pertaining students tentative papers material completedresholdore free explain played role reveals hypotheses fuzzy theory leads mathematical main non united oneraten triangle opposed others typogical present Vik students natureorehist students on nature controversy work support yet notion prohibitgi attracting students spam clust education C students school exception used distinguish varietyere nature fatal careers unification article fuzzy research better correctly fuzzy writtenile canonical routers prom part purely mathematicsult five overlooked perpet found van direct classification proof concerning nature content on level parents false phenomena authorutions members lecturesAutom collect mag paper clust students revised standardpp function,0.04322420513858672,0.04145077222475832,0.05555555555555556
