title,real_abstract,best_generated_abstract,bleu_score,rouge_score,meteor_score
"Fundamental and subharmonic transition to turbulence in
  zero-pressure-gradient flat-plate boundary layers","  In this fluid dynamics video, recent simulations of transition to turbulence
in compressible (M = 0.2), zero-pressure-gradient flat-plate boundary layers
triggered by fundamental (Klebanoff K-type) and subharmonic (Herbert H-type)
secondary instabilities of Tollmien-Schlichting waves are highlighted.
","Fundamental and subharmonic transition to turbulence in
  zero-pressure-gradient flat-plate boundary layers is proposed as the cause of the observed

weakness in ",0.2564265835774517,0.3214285669451531,0.2813428896852515
A Latent-Variable Bayesian Nonparametric Regression Model,"  We introduce a random partition model for Bayesian nonparametric regression.
The model is based on infinitely-many disjoint regions of the range of a latent
covariate-dependent Gaussian process. Given a realization of the process, the
cluster of dependent variable responses that share a common region are assumed
to arise from the same distribution. Also, the latent Gaussian process prior
allows for the random partitions (i.e., clusters of the observations) to
exhibit dependencies among one another. The model is illustrated through the
analysis of a real data set arising from education, and through the analysis of
simulated data that were generated from complex data-generating models.
","A Latent-Variable Bayesian Nonparametric Regression Model (Latent Variable Bay) is an integral function implemented in a Bayley model using the concept of a latent variable:

The model is a nonparameterized Bayes variable with a linear parameter distribution, which is one of many measures of an estimate. A single Bay() method is used to estimate a measure of the average posterior estimate of random variables. An estimation of variance is then performed; when the estimates are combined with other assumptions and",0.2531710912852064,0.16793892634694962,0.20309413764752512
"The free energy of the non-isotropic Ising lattice with Brascamp-Kunz
  boundary conditions","  The free energy of the finite and non-isotropic Ising lattice with
Brascamp-Kunz boundary conditions is calculated exactly as a series in the
absence of an external magnetic field.
","The free energy of the non-isotropic Ising lattice with Brascamp-Kunz
  boundary conditions in the L",0.39232702554143645,0.6341463369660917,0.4956928423543331
"Emergence of Topological Fermi Liquid from a Strongly Correlated Bosonic
  System in Optical Superlattices","  Recent experiments on quantum degenerate gases give an opportunity for
simulating strongly-correlated electronic systems in optical lattices. It may
shed light on some long-standing puzzles in condensed-matter physics, like the
nature of high-temperature superconductivity in cuprates that had baffled
people over two decades. It is believed that the two-dimensional fermionic
Hubbard model, or t-J model, contains the key to this problem; but the
difficulty of unveiling the mystery of a strongly-interacting fermionic system
is also generally acknowledged. Here, as a substitute, we systematically
analyze the property of bosonic t-J model simulated in optical superlattices
near unit-filling. In particular, we show the emergence of a strange
topological Fermi liquid with Fermi surfaces from a purely bosonic system. We
also discuss the possibility of observing these phenomena in ultracold atom
experiments. The result may provide some crucial insights into the origin of
high-T_{c} superconductivity.
","Emergence of Topological Fermi Liquid from a Strongly Correlated Bosonic
  System in Optical Superlattices

As shown in a paper from 1997, topological equilibrium can be explained by the inclusion of a system of highly correlated systems. However, this explanation was too weak for the superlaukeptic in 1999/2000 with only one paper to explain how topology explains topos, for example. We know that topoclines, by virtue of their large areas, are a source of topo in superclimate solutions. Therefore, we have to say something about toposes, because our solution should be compatible with what we call topole symmetry. That is, since",0.17740264135006537,0.15053762949184893,0.17803848838234904
"Modified FRW cosmologies arising from states of the hybrid quantum Gowdy
  model","  We construct approximate solutions of the hybrid quantum Gowdy cosmology with
three-torus topology, linear polarization, and local rotational symmetry, in
the presence of a massless scalar field. More specifically, we determine some
families of states for which the complicated inhomogeneous and anisotropic
Hamiltonian constraint operator of the Gowdy model is approximated by a much
simpler one. Our quantum states follow the dynamics governed by this simpler
constraint, while being at the same time also approximate solutions of the full
Gowdy model. This is so thanks to the quantum correlations that the considered
states present between the isotropic and anisotropic sectors of the model.
Remarkably, this simpler constraint can be regarded as that of a flat
Friedmann-Robertson-Walker universe filled with different kinds of perfect
fluids and geometrically corrected by homogeneous and isotropic curvature-like
terms. Therefore, our quantum states, which are intrinsically inhomogeneous,
admit approximate homogeneous and isotropic effective descriptions similar to
those considered in modified theories of gravity.
","Modified FRW cosmologies arising from states of the hybrid quantum Gowdy
  model and their derivation are shown in Fig. 6. The models are based on the superconducting Fermi-Fern particle bosom quantum state, wherein the Figgs boson is a large group of particles of similar size, with small mass with fast quantum gravity. It is said that this new state also represents a quantum of Fern: a state in which the particles interact with a small particle known as an electron and which also has the same mass and velocity, thus providing a potential energy source to the electron. This potential potential is the required mass for the particle to react with the larger unit particle such that a strong positive energy of P/P is formed and that it",0.3114334028950486,0.21739129943289237,0.22217270568819
Huffman Coding as a Non-linear Dynamical System,"  In this paper, source coding or data compression is viewed as a measurement
problem. Given a measurement device with fewer states than the observable of a
stochastic source, how can one capture the essential information? We propose
modeling stochastic sources as piecewise linear discrete chaotic dynamical
systems known as Generalized Lur\""{o}th Series (GLS) which dates back to Georg
Cantor's work in 1869. The Lyapunov exponent of GLS is equal to the Shannon's
entropy of the source (up to a constant of proportionality). By successively
approximating the source with GLS having fewer states (with the closest
Lyapunov exponent), we derive a binary coding algorithm which exhibits minimum
redundancy (the least average codeword length with integer codeword lengths).
This turns out to be a re-discovery of Huffman coding, the popular lossless
compression algorithm used in the JPEG international standard for still image
compression.
","Huffman Coding as a Non-linear Dynamical System

(2007, June 23), pp. 15–20
 (accessed April 2006).
. http://www.mathworks.net/pub_id/45.pdf
:
—A recent work on linear classification has the effect of providing an approach for describing the distribution of categorical data for an analysis of continuous variable distribution, and the concept of log-normalization for linear algebraic programming approaches. The article, by N. D. Wilson (eds.), Linear classification and log scale optimization has been used in a number of systematic systems where continuous variables have a greater probability of being specified as continuous distributions. (",0.13955903146456403,0.14525139176180535,0.1591508279504933
Spin Hall effect in iron-based superconductors: A Dirac-point effect,"  We have theoretically explored the intrinsic spin Hall effect (SHE) in the
iron-based superconductor family with a variety of materials. The study is
motivated by an observation that, in addition to an appreciable spin-orbit
coupling in the Fe 3d states, a character of the band structure in which Dirac
cones appear below the Fermi energy may play a crucial role in producing a
large SHE. Our investigation does indeed predict a substantially large spin
Hall conductivity in the heavily hole-doped regime such as KFe$_2$As$_2$. The
magnitude of the SHE has turned out to be comparable with that for Pt despite a
relatively small spin-orbit coupling, which we identify to come from a huge
contribution from the gap opening induced by the spin-orbit coupling at the
Dirac point, which can become close to the Fermi energy for the heavy hole
doping.
","Spin Hall effect in iron-based superconductors: A Dirac-point effect In a Diratium supercooling reactor, the ratio of iron with a magnetic field is 1:500. A supernova detonates rapidly in a core at an extremely high temperature. This allows ferritin, a nuclear fuel used in the ignition and disposal of nuclear materials to form helium, to rapidly fuse in solid form. As the core moves through the system, ferranucleic acid molecules are converted to the following radioactive hydrogen for the fusion reaction. The magnetic properties of this hydrogen form is determined by the molecular composition of the ferrate ferra on which the nucleium is made at the beginning",0.24029402821404705,0.18713449799938456,0.2129923446203755
Quantum quench influenced by an excited-state phase transition,"  We analyze excited-state quantum phase transitions (ESQPTs) in three
schematic (integrable and nonintegrable) models describing a single-mode
bosonic field coupled to a collection of atoms. It is shown that the presence
of the ESQPT in these models affects the quantum relaxation processes following
an abrupt quench in the control parameter. Clear cut evidence of the ESQPT
effects is presented in integrable models, while in the nonintegrable model the
evidence is blurred due to chaotic behavior of the system in the region around
the critical energy.
","Quantum quench influenced by an excited-state phase transition in the hydrogen atom and excited states in a helium atom, which then propagate into a single electron and thus in turn form a quinch, the nucleus has been described using a process termed super-emission.""

He claims that the quip in his experiments has resulted in an increase of the rate of superconductivity (shown below) as well as an",0.23633957154787869,0.14159291538569993,0.18628717796251615
The MIRI Medium Resolution Spectrometer calibration pipeline,"  The Mid-Infrared Instrument (MIRI) Medium Resolution Spectrometer (MRS) is
the only mid-IR Integral Field Spectrometer on board James Webb Space
Telescope. The complexity of the MRS requires a very specialized pipeline, with
some specific steps not present in other pipelines of JWST instruments, such as
fringe corrections and wavelength offsets, with different algorithms for point
source or extended source data. The MRS pipeline has also two different
variants: the baseline pipeline, optimized for most foreseen science cases, and
the optimal pipeline, where extra steps will be needed for specific science
cases. This paper provides a comprehensive description of the MRS Calibration
Pipeline from uncalibrated slope images to final scientific products, with
brief descriptions of its algorithms, input and output data, and the accessory
data and calibration data products necessary to run the pipeline.
","The MIRI Medium Resolution Spectrometer calibration pipeline supports a multi-disciplinary approach that includes 3D modeling simulation, particle detection modeling, and modeling of multiple micrometers, but is also capable of high resolution spectrometry (1,000-400m), which is often used in applications where you do not want to incur the associated costs due to expensive or complex spectroscopy (e.g. for multiple electron microscopy). The MSPIK2 has a resolution of about 2m2, which in this case is about 10,100 m (with about 30% less data than for the other model sensors) and can be calibrated with a",0.21681305042309942,0.2272727223657026,0.17394270122783087
The Role of Pragmatics in Legal Norm Representation,"  Despite the 'apparent clarity' of a given legal provision, its application
may result in an outcome that does not exactly conform to the semantic level of
a statute. The vagueness within a legal text is induced intentionally to
accommodate all possible scenarios under which such norms should be applied,
thus making the role of pragmatics an important aspect also in the
representation of a legal norm and reasoning on top of it. The notion of
pragmatics considered in this paper does not focus on the aspects associated
with judicial decision making. The paper aims to shed light on the aspects of
pragmatics in legal linguistics, mainly focusing on the domain of patent law,
only from a knowledge representation perspective. The philosophical discussions
presented in this paper are grounded based on the legal theories from Grice and
Marmor.
","The Role of Pragmatics in Legal Norm Representation in the Courts In this article, we will focus on common cases with the potential to be challenged as a result of litigation, as well as cases that have been assigned to federal courts because jurisdictions have not responded to state cases so much as federal court suits have. The next section describes the important role of state courts in bringing new cases. In the meantime, any and all state litigation is subject to the federal rules in both theory and practice. We also offer a number of other options, including a discussion of how a litigant's rights may be protected if they receive a state trial after they have sued. For more information",0.28993677114985966,0.19540229385652014,0.19944979367262722
